
Company, start_year, >= , 1995
Company, start_year, = , 1990
Company, country, IN , [Australia; Brazil]
Company, rankings, IN , [200;500; 300; 100; '250']
Movies, actors, =, 5, COUNT
Movies, actors, =, 10, COUNT
Movies, release_year, <, 2000


Movies, company.start_year, >= , 1995
Movies, company.country, IN , [Taiwan; MARS]
Movies, rankings, IN , [200;500; 300; 100; 250]
Movies, director, =, Roger Ho
Movies, release_year, >=, 2080
Movies, movie_name, IN, [How to Get your A; MIME; POKEMONGO; POKEMON LET'S GO!]








Products, ProductName, IN , [Mushroom, Honey, BOOM]
Products, BrandName, IN , [RIOT, Fist, UIUC, TEEMO]
Products, YearReleased, IN , [2010; 2018; 2017]






Company, start_year, >= , 1995
Company, start_year, = , 1990
Company, country, IN , [Australia; Brazil]
Company, rankings, IN , [200;500; 300; 100; '250']
Movies, actors, =, 5, COUNT
Movies, actors, =, 10, COUNT
Movies, release_year, <, 2000


Movies, company.start_year, >= , 1995
Movies, company.country, IN , [Taiwan; MARS]
Movies, rankings, IN , [200;500; 300; 100; 250]
Movies, director, =, Roger Ho
Movies, release_year, >=, 2080
Movies, movie_name, IN, [How to Get your A; MIME; POKEMONGO; POKEMON LET'S GO!]







Products, ProductName, IN, [Mushroom; Honey; BOOM]
Products, BrandName, IN, [RIOT; Fist; UIUC; TEEMO]
Products, YearReleased, IN , [2010; 2018; 2017]

Company, rankings, IN , [200;500; 300; 100; '250']
Movies, actors, =, 5, COUNT
Movies, actors, =, 10, COUNT
Movies, release_year, <, 2000


Movies, company.start_year, >= , 2001
Movies, company.country, IN , [Taiwan; MARS]
Movies, rankings, IN , [200;500; 300; 100; 250]
Movies, director, =, Roger Ho
Movies, release_year, >=, 2001
Movies, movie_name, IN, [How to Get your A; MIME; POKEMONGO; POKEMON LET'S GO!]




